"","Amperima_1","Amperima_2","ASTEROIDEA","Benthodytes_1","Benthodytes_2","Benthothur_2","Brisingid_1","CRINOIDEA","Deima","Deimatidae_2","Echinoid_10","Enypniastes_1","HOL_002","HOL_006","HOL_044","Holo_new1","Holo_new2","HOLOTHUROIDEA","Mesothuria_1","Molpadiod_1","Ophiuroid_1","Ophiuroid_2","OPHIUROIDEA","Paelopatides_fl","Paelopatides_wh","Peniagone_1","Peniagone_lea","Psychrop_3","Psychrop_4","Psychrop_6","Synallact_1","Velatid_3","Velatid_new1","Velatid_new2"
"A1",1,7,0,1,2,0,0,4,0,1,12,0,2,1,0,2,1,4,2,4,4,0,20,3,0,1,2,0,0,26,0,0,1,0
"A2",0,1,1,0,0,0,1,1,0,0,2,1,4,0,0,1,0,3,0,1,29,3,23,0,1,0,0,1,2,12,0,0,0,0
"A3",0,0,6,0,0,0,0,2,1,0,48,1,0,0,1,0,0,2,0,0,0,0,5,0,0,0,1,0,0,1,0,0,1,0
