"","Actinia_10","Actinia_15","Actinia_16","Actinia_22","Actinia_36","Actinia_9","Actinia_new1","Actinia_new2","Actiniaria","Alcyon_5","Alcyon_8","Alcyon_new1","Alcyon_new2","Alcyonacea","ANTHOZOA","Antipatharia","Ceriantharia","Hydroid_4","Hydroid_epigrowth","Pennatulacea","Umbellula_1","Zoantharia_1"
"A1",4,9,4,153,31,4,1,7,30,0,0,5,0,0,0,1,7,0,1,0,2,10
"A2",1,0,2,3,3,3,0,7,6,0,0,0,0,0,2,0,10,3,3,1,1,1
"A3",0,0,0,9,2,3,0,3,10,1,4,0,0,3,5,2,7,0,1,2,5,40
