"","Desmo_1","Desmo_2","Desmo_4","Desmo_5","Desmo_6","Desmo_8","Desmo_9","Hexact_1","Hexact_10","Hexact_17","Hexact_3","Hexact_4","Hexact_5","Hexact_9","PORIFERA","Porifera_15","Porifera_23","Porifera_3","Porifera_5","Porifera_6","Porifera_new1"
"A1",9,1,1,1,1,0,4,0,3,0,3,0,8,6,9,0,0,7,10,1,1
"A2",6,0,0,2,3,0,3,0,2,2,2,1,4,8,3,1,1,1,4,0,4
"A3",3,8,1,1,0,1,1,1,7,0,5,64,15,23,17,2,2,4,19,4,2
